renglon,año,entidad,cve_geo,cre_nat,cre_soc,cre_tot,def,edad_med,emi_est,emi_int,evh,evm,ev,hom_mit_año,ind_env,inm_est,inm_int,mig_net_est,mig_net_int,muj_mit_año,nac,pob_mit_año,muj_12_14,muj_15_29,muj_15_49,muj_18_24,muj_3_5,muj_30_64,muj_6_11,muj_65_mas,hom_12_14,hom_15_29,hom_15_49,hom_18_24,hom_3_5,hom_30_64,hom_6_11,hom_65_mas,pob_12_14,pob_15_29,pob_15_49,pob_18_24,pob_3_5,pob_30_64,pob_6_11,pob_65_mas,raz_dep_adu,raz_dep_inf,raz_dep,t_bru_mor,t_bru_nat,t_cre_nat,t_cre_soc,t_cre_tot,t_emi_est,t_inm_est,t_mig_net_est,t_mig_net_int,tmih,tmim,tmi,tef_ado,tgf,fecha_reg
21,1970.0,República Mexicana,0.0,1697684.0,-152104,1545580,524901.0,15.23,ND,165368,57.61,62.14,59.85,25388301.0,7.55,ND,13264,ND,-152104,25390428.0,2222585.0,50778729.0,1881395.0,6290523.0,10732385.0,2993145.0,2608002.0,6221514.0,4487869.0,974029.0,1923876.0,6281294.0,10671561.0,2976274.0,2674564.0,6059752.0,4597553.0,845802.0,3805271.0,12571817.0,21403946.0,5969419.0,5282566.0,12281266.0,9085422.0,1819831.0,7.32,96.99,104.32,10.34,43.77,3.34,-0.3,3.04,ND,ND,0,-0.3,83.17,69.85,76.67,134.67,6.62,2019-09-10
22,1971.0,República Mexicana,0.0,1768093.0,-162743,1605350,492387.0,15.26,ND,177959,59.43,63.81,61.6,26166899.0,7.62,ND,15216,ND,-162743,26187339.0,2260480.0,52354238.0,1956579.0,6528699.0,11095584.0,3110035.0,2679728.0,6384477.0,4626046.0,1014468.0,1999802.0,6511151.0,11020977.0,3087194.0,2747621.0,6215189.0,4737418.0,878097.0,3956381.0,13039850.0,22116561.0,6197229.0,5427349.0,12599666.0,9363464.0,1892565.0,7.38,96.81,104.19,9.4,43.18,3.38,-0.31,3.07,ND,ND,0,-0.31,77.24,64.75,71.15,133.93,6.51,2022-05-02
23,1972.0,República Mexicana,0.0,1804312.0,-170298,1634014,494337.0,15.32,ND,191538,59.77,64.26,62.0,26967851.0,7.69,ND,21240,ND,-170298,27006102.0,2298649.0,53973953.0,2031408.0,6782737.0,11478688.0,3236238.0,2754417.0,6554462.0,4764001.0,1053930.0,2075066.0,6755888.0,11389231.0,3206939.0,2823785.0,6377853.0,4877250.0,910057.0,4106474.0,13538625.0,22867919.0,6443177.0,5578202.0,12932315.0,9641251.0,1963987.0,7.42,96.48,103.9,9.16,42.59,3.34,-0.32,3.03,ND,ND,0,-0.32,75.12,62.86,69.14,133.43,6.39,2017-07-13
24,1973.0,República Mexicana,0.0,1833406.0,-175335,1658071,495686.0,15.42,ND,206500,60.1,64.73,62.39,27781487.0,7.76,ND,31165,ND,-175335,27838508.0,2329092.0,55619995.0,2104364.0,7050813.0,11879536.0,3370410.0,2829875.0,6731204.0,4902278.0,1093204.0,2148261.0,7013601.0,11774169.0,3334837.0,2900682.0,6547357.0,5017373.0,941920.0,4252625.0,14064414.0,23653705.0,6705247.0,5730557.0,13278561.0,9919651.0,2035124.0,7.44,95.97,103.42,8.91,41.88,3.3,-0.32,2.98,ND,ND,0,-0.32,73.23,61.17,67.35,132.64,6.25,2017-11-25
25,1974.0,República Mexicana,0.0,1866253.0,-176626,1689627,484999.0,15.57,ND,221645,60.58,66.21,63.35,28606863.0,7.83,ND,45019,ND,-176626,28687002.0,2351252.0,57293865.0,2175192.0,7332069.0,12299808.0,3512474.0,2904323.0,6918332.0,5042930.0,1134394.0,2219222.0,7283333.0,12177019.0,3470586.0,2976835.0,6726253.0,5159565.0,973981.0,4394414.0,14615402.0,24476827.0,6983060.0,5881158.0,13644585.0,10202495.0,2108375.0,7.46,95.28,102.74,8.47,41.04,3.26,-0.31,2.95,ND,ND,0,-0.31,71.66,59.75,65.85,131.54,6.07,2020-08-08
26,1975.0,República Mexicana,0.0,1882735.0,-173524,1709211,482874.0,15.76,ND,234986,61.13,66.68,63.86,29444095.0,7.92,ND,61462,ND,-173524,29549139.0,2365609.0,58993234.0,2244188.0,7625712.0,12739671.0,3664206.0,2975661.0,7116918.0,5187002.0,1177344.0,2288421.0,7565052.0,12599224.0,3616011.0,3050411.0,6916495.0,5304917.0,1006770.0,4532609.0,15190764.0,25338895.0,7280217.0,6026072.0,14033413.0,10491919.0,2184114.0,7.47,94.39,101.86,8.19,40.1,3.19,-0.29,2.9,ND,ND,0,-0.29,70.37,58.57,64.61,130.07,5.88,2020-02-26
27,1976.0,República Mexicana,0.0,1881240.0,-171313,1709927,483874.0,15.99,ND,246274,61.29,67.18,64.18,30286894.0,8.01,ND,74961,ND,-171313,30415911.0,2365114.0,60702805.0,2312159.0,7930239.0,13197649.0,3823614.0,3041388.0,7326248.0,5334005.0,1219786.0,2356653.0,7857748.0,13039923.0,3768824.0,3118726.0,7117987.0,5453124.0,1039512.0,4668812.0,15787987.0,26237572.0,7592438.0,6160114.0,14444235.0,10787129.0,2259298.0,7.47,93.32,100.79,7.97,38.96,3.1,-0.28,2.82,ND,ND,0,-0.28,69.03,57.36,63.34,127.82,5.65,2018-12-28
28,1977.0,República Mexicana,0.0,1884818.0,-171363,1713455,479017.0,16.0,ND,255662,61.64,67.97,64.74,31129123.0,8.1,ND,84299,ND,-171363,31285416.0,2363835.0,62414539.0,2380126.0,8244256.0,13672511.0,3986556.0,3098959.0,7547785.0,5482632.0,1262345.0,2424766.0,8159237.0,13495982.0,3924517.0,3178533.0,7330399.0,5603210.0,1071703.0,4804892.0,16403493.0,27168493.0,7911073.0,6277492.0,14878184.0,11085842.0,2334048.0,7.46,92.06,99.52,7.67,37.87,3.02,-0.27,2.75,ND,ND,0,-0.27,67.37,55.88,61.76,125.39,5.43,2022-07-27
29,1978.0,República Mexicana,0.0,1893211.0,-173103,1720108,470092.0,16.0,ND,263548,62.34,68.76,65.48,31971694.0,8.21,ND,90445,ND,-173103,32159642.0,2363303.0,64131336.0,2449043.0,8566271.0,14163757.0,4151745.0,3146495.0,7782822.0,5630638.0,1305684.0,2493623.0,8467189.0,13965474.0,4081883.0,3227689.0,7554502.0,5753081.0,1104238.0,4942666.0,17033460.0,28129231.0,8233628.0,6374184.0,15337324.0,11383719.0,2409922.0,7.44,90.67,98.11,7.33,36.85,2.95,-0.27,2.68,ND,ND,0,-0.27,65.23,54.01,59.76,122.55,5.21,2020-09-22
30,1979.0,República Mexicana,0.0,1896271.0,-179890,1716381,468053.0,16.0,ND,272195,62.62,69.36,65.91,32811683.0,8.32,ND,92305,ND,-179890,33037848.0,2364324.0,65849531.0,2519737.0,8894532.0,14670309.0,4317580.0,3181813.0,8031622.0,5774188.0,1349427.0,2563942.0,8778603.0,14445163.0,4238327.0,3264191.0,7789490.0,5898507.0,1136867.0,5083679.0,17673135.0,29115472.0,8555907.0,6446004.0,15821112.0,11672695.0,2486294.0,7.42,89.18,96.6,7.11,35.9,2.88,-0.27,2.61,ND,ND,0,-0.27,62.69,51.82,57.39,119.22,5.01,2018-01-06
31,1980.0,República Mexicana,0.0,1897945.0,-190953,1706992,469223.0,16.3,ND,281437,62.86,69.69,66.2,33644009.0,8.44,ND,90484,ND,-190953,33917207.0,2367168.0,67561216.0,2592763.0,9229435.0,15190783.0,4482524.0,3205221.0,8291973.0,5908515.0,1392732.0,2636256.0,9092587.0,14931818.0,4391378.0,3288383.0,8032266.0,6034568.0,1168658.0,5229019.0,18322022.0,30122601.0,8873902.0,6493604.0,16324239.0,11943083.0,2561390.0,7.39,87.61,95.0,6.95,35.04,2.81,-0.28,2.53,ND,ND,0,-0.28,59.86,49.4,54.76,115.39,4.82,2021-03-14
32,1981.0,República Mexicana,0.0,1911785.0,-205636,1706149,460206.0,16.7,ND,293744,63.6,70.4,66.93,34469942.0,8.56,ND,88108,ND,-205636,34797907.0,2371991.0,69267849.0,2668005.0,9568745.0,15725725.0,4645177.0,3220707.0,8565550.0,6029392.0,1436389.0,2710473.0,9406520.0,15426226.0,4540023.0,3304490.0,8285350.0,6157005.0,1200805.0,5378478.0,18975265.0,31151951.0,9185200.0,6525197.0,16850900.0,12186397.0,2637194.0,7.36,85.98,93.34,6.64,34.24,2.76,-0.3,2.46,ND,ND,0,-0.3,56.81,46.81,51.93,111.08,4.64,2021-02-10
33,1982.0,República Mexicana,0.0,1927017.0,-222717,1704300,450682.0,17.0,ND,308996,64.31,71.22,67.69,35291566.0,8.7,ND,86279,ND,-222717,35681486.0,2377699.0,70973052.0,2744104.0,9908762.0,16276035.0,4804511.0,3233835.0,8856414.0,6132081.0,1482121.0,2785295.0,9717189.0,15929917.0,4683535.0,3318390.0,8552971.0,6261032.0,1234609.0,5529399.0,19625951.0,32205952.0,9488046.0,6552225.0,17409385.0,12393113.0,2716730.0,7.34,84.3,91.64,6.35,33.5,2.72,-0.31,2.4,ND,ND,0,-0.31,53.65,44.14,49.01,106.64,4.48,2021-04-14
34,1983.0,República Mexicana,0.0,1937136.0,-244101,1693035,445888.0,17.0,ND,327591,65.18,71.41,68.25,36108862.0,8.86,ND,83490,ND,-244101,36562813.0,2383024.0,72671675.0,2818957.0,10248554.0,16840975.0,4959876.0,3248113.0,9163672.0,6214310.0,1529062.0,2859185.0,10025744.0,16444525.0,4822098.0,3333766.0,8835255.0,6344186.0,1270713.0,5678142.0,20274298.0,33285500.0,9781974.0,6581879.0,17998927.0,12558496.0,2799775.0,7.32,82.56,89.88,6.14,32.79,2.67,-0.34,2.33,ND,ND,0,-0.34,50.51,41.5,46.12,102.41,4.32,2017-10-05
35,1984.0,República Mexicana,0.0,1947481.0,-265908,1681573,440711.0,17.0,ND,347413,65.81,71.92,68.83,36920992.0,9.04,ND,81505,ND,-265908,37438035.0,2388192.0,74359027.0,2890333.0,10587185.0,17419596.0,5111482.0,3263532.0,9486764.0,6277990.0,1576976.0,2930268.0,10332246.0,16970820.0,4956675.0,3350643.0,9132699.0,6408580.0,1309378.0,5820601.0,20919431.0,34390416.0,10068157.0,6614175.0,18619463.0,12686570.0,2886354.0,7.3,80.77,88.07,5.93,32.12,2.62,-0.36,2.26,ND,ND,0,-0.36,47.62,39.06,43.44,98.47,4.18,2018-05-19
36,1985.0,República Mexicana,0.0,1947767.0,-286263,1661504,445001.0,17.47,ND,366476,66.06,72.06,69.02,37724679.0,9.23,ND,80213,ND,-286263,38305856.0,2392768.0,76030535.0,2955826.0,10923328.0,18010610.0,5260534.0,3279693.0,9825619.0,6326261.0,1626142.0,2995951.0,10635498.0,17507419.0,5088820.0,3368635.0,9444314.0,6457766.0,1349532.0,5951777.0,21558826.0,35518029.0,10349354.0,6648328.0,19269933.0,12784027.0,2975674.0,7.29,78.93,86.22,5.85,31.47,2.56,-0.38,2.19,ND,ND,0,-0.38,45.1,36.95,41.12,95.07,4.04,2018-09-04
37,1986.0,República Mexicana,0.0,1961650.0,-304721,1656929,435585.0,17.98,ND,384565,66.88,72.76,69.78,38522521.0,9.45,ND,79844,ND,-304721,39167236.0,2397235.0,77689757.0,3012942.0,11255301.0,18612517.0,5408782.0,3295682.0,10180923.0,6363204.0,1677732.0,3053396.0,10935894.0,18054693.0,5220880.0,3386843.0,9770705.0,6496166.0,1392084.0,6066338.0,22191195.0,36667210.0,10629662.0,6682525.0,19951628.0,12859370.0,3069816.0,7.28,77.06,84.35,5.61,30.86,2.52,-0.39,2.13,ND,ND,0,-0.39,42.94,35.14,39.14,92.28,3.91,2018-07-28
38,1987.0,República Mexicana,0.0,1965606.0,-323074,1642532,436227.0,18.0,ND,403556,67.26,73.09,70.14,39316464.0,9.7,ND,80482,ND,-323074,40023034.0,2401833.0,79339498.0,3059795.0,11580701.0,19222929.0,5557360.0,3310617.0,10553374.0,6393002.0,1732570.0,3100524.0,11232143.0,18611421.0,5354333.0,3404311.0,10112663.0,6528234.0,1437788.0,6160319.0,22812844.0,37834350.0,10911693.0,6714928.0,20666037.0,12921236.0,3170358.0,7.29,75.19,82.48,5.5,30.27,2.48,-0.41,2.07,ND,ND,0,-0.41,40.99,33.5,37.34,90.12,3.78,2022-10-26
39,1988.0,República Mexicana,0.0,1962949.0,-343276,1619673,443546.0,18.02,ND,425571,67.24,73.31,70.24,40100754.0,9.96,ND,82295,ND,-343276,40869852.0,2406495.0,80970606.0,3094077.0,11895984.0,19837179.0,5706135.0,3324139.0,10941797.0,6420421.0,1789240.0,3135186.0,11520158.0,19171839.0,5488820.0,3420463.0,10467868.0,6558819.0,1484495.0,6229263.0,23416142.0,39009018.0,11194955.0,6744602.0,21409665.0,12979240.0,3273735.0,7.3,73.33,80.63,5.48,29.72,2.42,-0.42,2,ND,ND,0,-0.42,39.1,31.91,35.59,88.5,3.66,2019-08-31
