RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
1049,2026,Guerrero,12,35683,-29576,6107,26406,28,27351,15493,71.26,77.36,74.34,1795733,34.02,9237,4031,-18114,-11462,1917153,62089,3712886,100640,99859,165368,474713,984660,224159,158650,93497,777255,194340,185116,105624,104161,171547,473901,920760,225931,158545,97134,672490,203001,148591,206264,204020,336915,948614,1905420,450090,317195,190631,1449745,397341,333707,13.91,40.9,54.81,7.11,16.72,0.96,-0.8,0.16,0.736650681,0.248782214,-0.487868467,-0.31,15.03,12.14,13.62,64.41,2.05
1050,2027,Guerrero,12,34951,-29379,5572,26592,28.18,27030,15563,71.43,77.54,74.52,1798186,35.43,9163,4051,-17867,-11512,1920543,61543,3718729,99635,99137,164236,472338,986203,223043,157944,92142,784928,191078,190182,104597,103577,170722,472994,924902,225703,158558,95728,679524,199476,152257,204232,202714,334958,945332,1911105,448746,316502,187870,1464452,390554,342439,14.21,40.11,54.32,7.15,16.55,0.94,-0.79,0.15,0.726861247,0.246401391,-0.480459856,-0.31,14.51,11.72,13.15,63.93,2.04
1051,2028,Guerrero,12,33430,-29145,4285,26786,28.91,26689,15606,71.62,77.72,74.71,1800190,36.9,9081,4069,-17608,-11537,1923462,60216,3723652,98168,98397,163049,469904,987435,221794,157142,90798,792205,188150,195324,103019,102899,169750,471948,928817,225204,158353,94358,686315,196358,155937,201187,201296,332799,941852,1916252,446998,315495,185156,1478520,384508,351261,14.51,39.33,53.85,7.19,16.17,0.9,-0.78,0.12,0.716742596,0.243873488,-0.472869108,-0.31,13.97,11.31,12.67,62.69,2
1052,2029,Guerrero,12,32722,-28956,3766,26961,29,26357,15669,71.81,77.92,74.9,1801745,38.42,8996,4074,-17361,-11595,1925934,59683,3727679,96393,97596,161797,467338,988289,220421,156220,89477,799141,185441,200539,101050,102105,168611,470718,932405,224442,157936,93017,692887,193540,159615,197443,199701,330408,938056,1920694,444863,314156,182494,1492028,378981,360154,14.82,38.58,53.4,7.23,16.01,0.88,-0.78,0.1,0.707061955,0.241329793,-0.465732162,-0.31,13.45,10.89,12.2,62.31,1.99
1053,2030,Guerrero,12,31220,-28743,2477,27174,29.32,26028,15729,71.99,78.1,75.08,1802849,39.99,8923,4091,-17105,-11638,1927938,58394,3730787,94585,96644,160395,464528,988618,218983,155232,88175,805736,182780,205818,99039,101132,167255,469190,935496,223504,157381,91694,699255,190779,163295,193624,197776,327650,933718,1924114,442487,312613,179869,1504991,373559,369113,15.14,37.85,52.98,7.28,15.65,0.84,-0.77,0.07,0.697654409,0.239172057,-0.458482352,-0.31,12.95,10.5,11.75,61.19,1.95
1054,2031,Guerrero,12,30470,-28519,1951,27389,30,25674,15782,72.18,78.28,75.27,1803504,41.59,8830,4107,-16844,-11675,1929494,57859,3732998,93070,95243,158521,461165,988083,217532,154254,86898,812000,180162,211163,97401,99627,165301,466898,937623,222439,156765,90392,705491,188065,166979,190471,194870,323822,928063,1925706,439971,311019,177290,1517491,368227,378142,15.46,37.18,52.64,7.34,15.5,0.82,-0.76,0.05,0.687758204,0.236539103,-0.451219101,-0.31,12.45,10.11,11.31,61.01,1.94
1055,2032,Guerrero,12,28970,-28291,679,27614,30,25320,15849,72.36,78.47,75.46,1803713,43.21,8753,4125,-16567,-11724,1930601,56584,3734314,91744,93540,156292,457343,986775,216014,153262,85638,817937,177587,216583,96026,97750,162894,463902,938842,221229,156085,89100,711650,185401,170672,187770,191290,319186,921245,1925617,437243,309347,174738,1529587,362988,387255,15.8,36.57,52.37,7.39,15.15,0.78,-0.76,0.02,0.67803618,0.234393787,-0.443642393,-0.31,11.97,9.72,10.87,60.06,1.91
1056,2033,Guerrero,12,28195,-28076,119,27844,30.52,24954,15915,72.55,78.65,75.64,1803453,44.89,8653,4140,-16301,-11775,1931261,56039,3734714,90443,91809,153906,453222,984859,214316,152219,84398,823554,175047,222096,94668,95839,160330,460414,939345,219772,155281,87814,717749,182786,174382,185111,187648,314236,913636,1924204,434088,307500,172212,1541303,357833,396478,16.15,35.98,52.13,7.46,15,0.75,-0.75,0,0.668163613,0.231691101,-0.436472512,-0.32,11.5,9.35,10.45,59.88,1.91
1057,2034,Guerrero,12,26718,-27846,-1128,28057,31,24588,15964,72.73,78.85,75.83,1802743,46.62,8561,4145,-16027,-11819,1931462,54775,3734205,89169,90361,151403,448808,982307,212157,151115,83168,828822,172544,227718,93328,94292,157658,456482,939125,217702,154336,86526,723752,180216,178121,182497,184653,309061,905290,1921432,429859,305451,169694,1552574,352760,405839,16.51,35.42,51.93,7.51,14.67,0.72,-0.75,-0.03,0.658453406,0.229258972,-0.429194434,-0.32,11.04,8.98,10.04,58.89,1.87
1058,2035,Guerrero,12,25915,-27598,-1683,28308,31,24220,16007,72.92,79.03,76.02,1801591,48.42,8469,4160,-15751,-11847,1931212,54223,3732803,87921,89094,148884,444174,979123,209659,149869,81946,833685,170078,233448,92018,92990,154955,452193,938164,215159,153194,85241,729570,177678,181894,179939,182084,303839,896367,1917287,424818,303063,167187,1563255,347756,415342,16.89,34.88,51.76,7.58,14.53,0.69,-0.74,-0.05,0.64884217,0.226880443,-0.421961727,-0.32,10.6,8.64,9.64,58.66,1.87
1059,2036,Guerrero,12,24429,-27303,-2874,28548,31.78,23851,16011,73.1,79.21,76.2,1800021,50.28,8388,4171,-15463,-11840,1930497,52977,3730518,86690,87851,146658,439396,975306,206984,148177,80721,838082,167643,239276,90739,91699,152601,447643,936492,212392,151490,83957,735144,175160,185692,177429,179550,299259,887039,1911798,419376,299667,164678,1573226,342803,424968,17.27,34.36,51.63,7.65,14.2,0.65,-0.73,-0.08,0.639348208,0.224848131,-0.414500077,-0.32,10.17,8.3,9.26,57.73,1.84
1060,2037,Guerrero,12,23611,-27021,-3410,28810,32,23476,16026,73.28,79.39,76.38,1798045,52.19,8307,4174,-15169,-11852,1929337,52421,3727382,85467,86634,144629,434470,970888,204148,146153,79497,842048,165243,245191,89482,90419,150494,442851,934126,209427,149352,82681,740494,172668,189489,174949,177053,295123,877321,1905014,413575,295505,162178,1582542,337911,434680,17.67,33.86,51.53,7.73,14.06,0.63,-0.72,-0.09,0.629825438,0.222864198,-0.40696124,-0.32,9.76,7.97,8.89,57.62,1.84
1061,2038,Guerrero,12,22146,-26745,-4599,29047,32.3,23096,16038,73.46,79.57,76.56,1795650,54.16,8211,4178,-14885,-11860,1927721,51193,3723371,84263,85437,142632,429368,965869,201171,143976,78268,845631,162867,251167,88245,89159,148409,437807,931062,206303,147053,81410,745675,170191,193239,172508,174596,291041,867175,1896931,407474,291029,159678,1591306,333058,444406,18.08,33.37,51.45,7.8,13.75,0.59,-0.72,-0.12,0.620298112,0.22052597,-0.399772142,-0.32,9.36,7.65,8.53,56.8,1.81
1062,2039,Guerrero,12,21322,-26448,-5126,29321,33,22713,16034,73.64,79.75,76.74,1792849,56.18,8116,4183,-14597,-11851,1925649,50643,3718498,83077,84256,140664,424130,960275,198099,141691,77040,848851,160507,257150,87026,87929,146352,432543,927324,203060,144637,80150,750719,167722,196901,170103,172185,287016,856673,1887599,401159,286328,157190,1599570,328229,454051,18.49,32.9,51.39,7.89,13.62,0.57,-0.71,-0.14,0.610811139,0.218260168,-0.392550971,-0.32,8.97,7.35,8.18,56.71,1.81
1063,2040,Guerrero,12,19866,-26181,-6315,29580,33,22333,16048,73.83,79.93,76.92,1789662,58.23,8023,4177,-14310,-11871,1923124,49446,3712786,81911,83085,138726,418768,954097,195028,139387,75811,851730,158154,263105,85829,86721,144332,427097,922899,199798,142187,78893,755637,165261,200444,167740,169806,283058,845865,1876996,394826,281574,154704,1607367,323415,463549,18.9,32.45,51.34,7.97,13.32,0.54,-0.71,-0.17,0.601515951,0.216091097,-0.385424853,-0.32,8.6,7.05,7.84,55.92,1.78
1064,2041,Guerrero,12,19050,-25905,-6855,29855,33.63,21954,16056,73.99,80.11,77.1,1786058,60.31,7922,4183,-14032,-11873,1920134,48905,3706192,80760,81933,136816,413282,947346,192237,137354,74586,854343,155799,268961,84642,85539,142357,421482,917796,196872,140054,77640,760459,162803,203812,165402,167472,279173,834764,1865142,389109,277408,152226,1614802,318602,472773,19.3,32,51.3,8.06,13.2,0.51,-0.7,-0.18,0.592360029,0.213750394,-0.378609635,-0.32,8.24,6.76,7.52,55.9,1.78
1065,2042,Guerrero,12,17617,-25610,-7993,30127,34,21566,16055,74.17,80.27,77.27,1782071,62.42,7828,4183,-13738,-11872,1916710,47744,3698781,79623,80796,134929,407687,940121,189638,135505,73363,856712,153446,274700,83457,84377,140428,415733,912139,194210,138159,76383,765176,160355,207018,163080,165173,275357,823420,1852260,383848,273664,149746,1621888,313801,481718,19.7,31.56,51.26,8.15,12.91,0.48,-0.69,-0.22,0.583056958,0.211637293,-0.371419665,-0.32,7.9,6.49,7.21,55.17,1.76
1066,2043,Guerrero,12,16824,-25337,-8513,30390,34.19,21195,16061,74.35,80.45,77.45,1777692,64.56,7739,4180,-13456,-11881,1912832,47214,3690524,78496,79679,133070,402003,932519,187074,133683,72152,858797,151085,280332,82269,83239,138543,409904,906051,191598,136294,75128,769685,157915,210106,160765,162918,271613,811907,1838570,378672,269977,147280,1628482,309000,490438,20.1,31.13,51.23,8.23,12.79,0.46,-0.69,-0.23,0.574308689,0.209699219,-0.36460947,-0.32,7.56,6.22,6.91,55.19,1.76
1067,2044,Guerrero,12,15414,-25062,-9648,30676,34.99,20817,16064,74.51,80.62,77.62,1772923,66.74,7641,4178,-13176,-11886,1908523,46090,3681446,77379,78575,131235,396262,924595,184547,131887,70950,860531,148723,285906,81084,82115,136684,404024,899623,189036,134467,73873,773902,155474,213128,158463,160690,267919,800286,1824218,373583,266354,144823,1634433,304197,499034,20.5,30.71,51.21,8.33,12.52,0.42,-0.68,-0.26,0.56545716,0.207554314,-0.357902846,-0.32,7.25,5.96,6.62,54.49,1.74
1068,2045,Guerrero,12,14641,-24763,-10122,30936,35,20442,16042,74.69,80.79,77.79,1767785,68.99,7543,4178,-12899,-11864,1903783,45577,3671568,76255,77483,129423,390552,916447,182057,130117,69764,861800,146366,291455,79901,80992,134841,398169,892944,186530,132681,72627,777698,153036,216146,156156,158475,264264,788721,1809391,368587,262798,142391,1639498,299402,507601,20.9,30.3,51.2,8.43,12.41,0.4,-0.67,-0.28,0.556764848,0.20544356,-0.351321288,-0.32,6.94,5.72,6.34,54.53,1.74
1069,2046,Guerrero,12,13289,-24464,-11175,31197,35.55,20061,16013,74.86,80.96,77.96,1762292,71.32,7445,4165,-12616,-11848,1898629,44486,3660921,75128,76400,127630,385138,908158,179598,128368,68586,862318,144017,297010,78728,79859,132998,392661,886070,184077,130938,71388,780683,150598,219231,153856,156259,260628,777799,1794228,363675,259306,139974,1643001,294615,516241,21.33,29.9,51.23,8.52,12.15,0.36,-0.67,-0.31,0.547976862,0.203364126,-0.344612735,-0.32,6.64,5.48,6.07,53.85,1.72
1070,2047,Guerrero,12,12514,-24179,-11665,31473,36,19681,15991,75.03,81.12,78.13,1756459,73.73,7336,4157,-12345,-11834,1893040,43987,3649499,73995,75324,125851,379930,899743,177168,126641,67424,862144,141680,302580,77554,78722,131150,387413,879022,181661,129233,70175,782908,148167,222426,151549,154046,257001,767343,1778765,358829,255874,137599,1645052,289847,525006,21.76,29.52,51.28,8.62,12.05,0.34,-0.66,-0.32,0.539279501,0.201013893,-0.338265609,-0.32,6.36,5.25,5.82,53.94,1.72
1071,2048,Guerrero,12,11177,-23869,-12692,31753,36.12,19321,15951,75.19,81.28,78.29,1750281,76.24,7246,4157,-12075,-11794,1887039,42930,3637320,72862,74243,124075,374778,891187,174771,124939,66276,861409,139359,308197,76380,77582,129288,382209,871785,179258,127552,68983,784545,145744,225766,149242,151825,253363,756987,1762972,354029,252491,135259,1645954,285103,533963,22.22,29.15,51.37,8.73,11.8,0.31,-0.66,-0.35,0.531187798,0.199212607,-0.331975191,-0.32,6.09,5.04,5.58,53.29,1.7
1072,2049,Guerrero,12,10440,-23579,-13139,32009,36.92,18954,15909,75.36,81.45,78.46,1743772,78.85,7137,4147,-11817,-11762,1880639,42449,3624411,71728,73158,122299,369664,882453,172396,123255,65149,860112,137057,313886,75204,76448,127423,377043,864354,176853,125878,67815,785571,143337,229292,146932,149606,249722,746707,1746807,349249,249133,132964,1645683,280394,543178,22.7,28.79,51.5,8.83,11.71,0.29,-0.65,-0.36,0.522953937,0.196914754,-0.326039183,-0.32,5.82,4.82,5.34,53.39,1.7
1073,2050,Guerrero,12,9169,-23273,-14104,32263,37,18596,15865,75.53,81.61,78.62,1736953,81.59,7047,4141,-11549,-11724,1873837,41432,3610790,70594,72067,120519,364591,873526,170045,121593,64037,858230,134774,319662,74034,75315,125560,371918,856706,174452,124207,66667,785976,140950,233024,144628,147382,246079,736509,1730232,344497,245800,130704,1644206,275724,552686,23.22,28.45,51.67,8.94,11.47,0.25,-0.64,-0.39,0.51501195,0.195165047,-0.319846903,-0.32,5.57,4.62,5.11,52.8,1.68
1074,1970,Hidalgo,13,43299,ND,ND,14293,15,ND,ND,55.88,62.66,59.12,633007,7.75,ND,ND,ND,ND,626766,57592,1259773,45987,39077,61588,148289,255604,70062,47551,66795,151679,112931,25674,48014,40899,64278,153185,262502,72280,48901,67419,151170,115387,21491,94001,79976,125866,301474,518106,142342,96452,134214,302849,228318,47165,7.8,100.66,108.46,11.35,45.72,3.44,ND,ND,ND,ND,ND,ND,99.25,84.52,92.06,134.82,7.2
1075,1971,Hidalgo,13,44684,ND,ND,13669,15,ND,ND,57.69,63.31,60.4,648780,7.82,ND,ND,ND,ND,641716,58353,1290496,47512,40474,63823,152585,261903,72176,48827,68267,154265,115726,26534,49598,42348,66569,157583,269119,74395,50174,69021,154115,118352,22211,97110,82822,130392,310168,531022,146571,99001,137288,308380,234078,48745,7.88,100.75,108.63,10.59,45.22,3.46,ND,ND,ND,ND,ND,ND,93.88,80,87.11,134.92,7.12
1076,1972,Hidalgo,13,45179,ND,ND,13945,15,ND,ND,57.84,62.82,60.26,664878,7.88,ND,ND,ND,ND,656869,59124,1321747,49003,41893,66095,157148,268502,74456,50254,69793,156937,118473,27353,51140,43821,68891,162253,276065,76681,51611,70689,157190,121285,22921,100143,85714,134986,319401,544567,151137,101865,140482,314127,239758,50274,7.94,100.7,108.63,10.55,44.73,3.42,ND,ND,ND,ND,ND,ND,91.9,78.24,85.24,135.27,7.02
1077,1973,Hidalgo,13,45452,ND,ND,14108,15,ND,ND,58.05,62.67,60.29,681045,7.94,ND,ND,ND,ND,672028,59560,1353073,50425,43317,68375,161928,275351,76867,51809,71318,159700,121188,28147,52610,45283,71224,167141,283282,79116,53175,72361,160388,124192,23615,103035,88600,139599,329069,558633,155983,104984,143679,320088,245380,51762,7.97,100.46,108.44,10.43,44.02,3.36,ND,ND,ND,ND,ND,ND,89.89,76.42,83.32,135.21,6.88
1078,1974,Hidalgo,13,45953,ND,ND,13839,15,ND,ND,58.46,63.96,61.11,697237,8,ND,ND,ND,ND,687246,59792,1384483,51774,44731,70653,166903,282479,79404,53482,72797,162626,123921,28976,54003,46723,73545,172215,290779,81686,54864,74001,163755,127118,24306,105777,91454,144198,339118,573258,161090,108346,146798,326381,251039,53282,8.01,100.03,108.04,10,43.19,3.32,ND,ND,ND,ND,ND,ND,88.22,74.9,81.72,134.84,6.72
1079,1975,Hidalgo,13,46010,ND,ND,13819,15,ND,ND,58.83,64.21,61.43,713467,8.08,ND,ND,ND,ND,702439,59829,1415906,53056,46106,72906,172038,289865,82099,55299,74178,165736,126696,29835,55331,48120,75829,177472,298597,84432,56723,75563,167348,130091,25007,108387,94226,148735,349510,588462,166531,112022,149741,333084,256787,54842,8.03,99.4,107.43,9.76,42.25,3.25,ND,ND,ND,ND,ND,ND,86.86,73.62,80.4,134.08,6.53
1080,1976,Hidalgo,13,45687,ND,ND,13821,15,ND,ND,58.85,64.65,61.63,729540,8.16,ND,ND,ND,ND,717376,59508,1446916,54292,47421,75104,177296,297479,84903,57220,75399,169012,129500,30656,56613,49455,78054,182869,306683,87292,58693,76983,171148,133098,25695,110905,96876,153158,360165,604162,172195,115913,152382,340160,262598,56351,8.05,98.56,106.61,9.55,41.13,3.16,ND,ND,ND,ND,ND,ND,85.45,72.32,79.05,132.54,6.3
1081,1977,Hidalgo,13,45588,ND,ND,13589,15.18,ND,ND,59.16,65.56,62.21,745327,8.25,ND,ND,ND,ND,731990,59177,1477317,55505,48667,77218,182632,305265,87719,59168,76403,172468,132297,31465,57873,50723,80195,188360,314966,90161,60689,78182,175145,136118,26362,113378,99390,157413,370992,620231,177880,119857,154585,347613,268415,57827,8.05,97.53,105.58,9.2,40.06,3.09,ND,ND,ND,ND,ND,ND,83.69,70.74,77.38,130.77,6.08
1082,1978,Hidalgo,13,45564,ND,ND,13207,15.44,ND,ND,59.93,66.51,63.07,760844,8.35,ND,ND,ND,ND,746354,58771,1507198,56721,49852,79239,188016,313214,90520,61133,77144,176139,135036,32275,59127,51924,82232,193886,323397,93012,62704,79111,179353,139096,27033,115848,101776,161471,381902,636611,183532,123837,156255,355492,274132,59308,8.04,96.35,104.4,8.76,38.99,3.02,ND,ND,ND,ND,ND,ND,81.39,68.72,75.21,128.27,5.86
1083,1979,Hidalgo,13,45384,ND,ND,13025,15.72,ND,ND,60.26,67.24,63.58,776024,8.45,ND,ND,ND,ND,760426,58409,1536450,57954,50987,81163,193395,321278,93266,63090,77575,180014,137623,33080,60397,53070,84159,199372,331889,95780,64691,79721,183756,141932,27692,118351,104057,165322,392767,653167,189046,127781,157296,363770,279555,60772,8.03,95.06,103.09,8.48,38.02,2.95,ND,ND,ND,ND,ND,ND,78.64,66.34,72.64,125.24,5.64
1084,1980,Hidalgo,13,45344,ND,ND,12933,16,ND,ND,60.6,67.65,63.95,791859,8.55,ND,ND,ND,ND,776144,58277,1568003,59345,52212,83205,199402,330534,96217,65224,77858,184654,140262,33935,61845,54292,86164,205132,340864,98569,66697,80118,188466,144822,28345,121190,106504,169369,404534,671398,194786,131921,157976,373120,285084,62280,8.01,93.62,101.63,8.25,37.17,2.89,ND,ND,ND,ND,ND,ND,75.53,63.66,69.74,121.6,5.44
1085,1981,Hidalgo,13,45970,ND,ND,12583,16,ND,ND,61.55,68.44,64.84,809589,8.67,ND,ND,ND,ND,795712,58553,1605301,61030,53670,85601,206668,342199,99667,67736,78249,190776,143196,34961,63631,55743,88465,211469,350881,101521,68799,80495,193761,147994,29062,124661,109413,174066,418137,693080,201188,136535,158744,384537,291190,64023,7.98,92.02,99.99,7.84,36.47,2.86,ND,ND,ND,ND,ND,ND,72.09,60.71,66.54,117.32,5.26
1086,1982,Hidalgo,13,46782,ND,ND,12249,16,ND,ND,62.48,69.3,65.74,828271,8.8,ND,ND,ND,ND,817376,59031,1645647,62862,55276,88209,214592,355348,103344,70411,78735,197926,146017,36117,65592,57334,90937,218030,361548,104494,70891,80912,199554,151050,29842,128454,112610,179146,432622,716896,207838,141302,159647,397480,297067,65959,7.95,90.3,98.25,7.44,35.87,2.84,ND,ND,ND,ND,ND,ND,68.47,57.63,63.18,112.86,5.08
1087,1983,Hidalgo,13,46653,ND,ND,12073,16.22,ND,ND,63.57,69.29,66.34,846808,8.95,ND,ND,ND,ND,839067,58726,1685875,64670,56927,90860,222555,368902,106953,73020,79250,205478,148362,37309,67544,58965,93435,224513,372414,107341,72871,81368,205657,153622,30672,132214,115892,184295,447068,741316,214294,145891,160618,411135,301984,67981,7.92,88.52,96.44,7.16,34.83,2.77,ND,ND,ND,ND,ND,ND,64.01,53.8,59.03,109.23,4.85
1088,1984,Hidalgo,13,46492,ND,ND,11868,16.66,ND,ND,64.43,69.68,66.98,865165,9.11,ND,ND,ND,ND,860711,58360,1725876,66403,58622,93564,230544,382859,110501,75559,79796,213435,150276,38517,69440,60639,95976,230924,383494,110086,74749,81861,212075,155755,31559,135843,119261,189540,461468,766353,220587,150308,161657,425510,306031,70076,7.9,86.68,94.58,6.88,33.81,2.69,ND,ND,ND,ND,ND,ND,59.91,50.27,55.21,105.96,4.63
1089,1985,Hidalgo,13,45997,ND,ND,11918,17,ND,ND,64.85,69.69,67.21,883255,9.3,ND,ND,ND,ND,882292,57915,1765547,68007,60328,96298,238521,397186,114011,78041,80362,221806,151831,39764,71216,62330,98551,237234,394759,112764,76543,82381,218787,157529,32475,139223,122658,194849,475755,791945,226775,154584,162743,440593,309360,72239,7.88,84.79,92.67,6.75,32.8,2.61,ND,ND,ND,ND,ND,ND,56.37,47.2,51.9,103.28,4.41
1090,1986,Hidalgo,13,45823,ND,ND,11573,17,ND,ND,65.88,70.42,68.11,901149,9.5,ND,ND,ND,ND,903808,57396,1804957,69419,62008,99036,246456,411858,117520,80492,80923,230594,153120,41065,72805,64009,101148,243454,406217,115429,78290,82907,225803,159050,33448,142224,126017,200184,489910,818075,232949,158782,163830,456397,312170,74513,7.87,82.86,90.74,6.41,31.8,2.54,ND,ND,ND,ND,ND,ND,53.34,44.56,49.06,101.27,4.21
1091,1987,Hidalgo,13,45315,ND,ND,11489,17.12,ND,ND,66.39,70.88,68.6,918878,9.73,ND,ND,ND,ND,925317,56804,1844195,70599,63612,101723,254291,426824,121056,82945,81462,239832,154248,42447,74155,65635,103718,249551,417836,118110,80027,83415,233142,160422,34493,144754,129247,205441,503842,844660,239166,162972,164877,472974,314670,76940,7.88,80.92,88.8,6.23,30.8,2.46,ND,ND,ND,ND,ND,ND,50.62,42.19,46.5,100,4.01
1092,1988,Hidalgo,13,44423,ND,ND,11556,17.66,ND,ND,66.39,71.37,68.85,936310,9.98,ND,ND,ND,ND,946727,55979,1883037,71492,65083,104271,261939,441975,124610,85422,81967,249491,155323,43878,75214,67140,106163,255435,429476,120803,81780,83893,240737,161766,35557,146706,132223,210434,517374,871451,245413,167202,165860,490228,317089,79435,7.88,79,86.88,6.14,29.73,2.36,ND,ND,ND,ND,ND,ND,48.7,40.58,44.74,99.45,3.78
1093,1989,Hidalgo,13,43592,ND,ND,11544,18,ND,ND,66.69,71.91,69.27,953399,10.24,ND,ND,ND,ND,968013,55136,1921412,72104,66365,106590,269323,457207,128161,87936,82447,259561,156406,45362,75985,68453,108385,261021,441037,123486,83554,84343,248590,163139,36644,148089,134818,214975,530344,898244,251647,171490,166790,508151,319545,82006,7.9,77.12,85.02,6.01,28.7,2.27,ND,ND,ND,ND,ND,ND,49.74,41.38,45.66,99.09,3.57
1094,1990,Hidalgo,13,42917,ND,ND,11334,18,ND,ND,67.22,72.77,69.96,970594,10.52,ND,ND,ND,ND,988063,54251,1958657,72748,67704,109046,276633,471804,131893,90551,82668,268977,157322,46783,76503,69639,110561,267120,453318,126646,85724,84583,256729,163966,37863,149251,137343,219607,543753,925122,258539,176275,167251,525706,321288,84646,7.91,75.23,83.14,5.79,27.7,2.19,ND,ND,ND,ND,ND,ND,47.92,39.86,43.99,98.85,3.37
1095,1991,Hidalgo,13,44280,ND,ND,10998,18.37,ND,ND,67.93,73.78,70.82,987961,10.83,ND,ND,ND,ND,1006887,55278,1994848,73539,69050,111562,283825,485655,135775,93263,82611,277668,158032,48165,76882,70664,112648,273827,466393,130346,88362,84557,265126,164166,39205,150421,139714,224210,557652,952048,266121,181625,167168,542794,322198,87370,7.94,73.34,81.28,5.51,27.71,2.22,ND,ND,ND,ND,ND,ND,43.8,36.46,40.22,100.06,3.34
1096,1992,Hidalgo,13,45361,ND,ND,10948,18.97,ND,ND,68.32,74.28,71.27,1005120,11.15,ND,ND,ND,ND,1025491,56309,2030611,74351,70142,113702,290597,499215,139508,95948,82519,286525,158709,49614,77268,71397,114308,280172,479283,133945,91034,84454,273741,164275,40620,151619,141539,228010,570769,978498,273453,186982,166973,560266,322984,90234,7.98,71.56,79.54,5.39,27.73,2.23,ND,ND,ND,ND,ND,ND,42.6,35.43,39.11,101.51,3.31
1097,1993,Hidalgo,13,46301,ND,ND,11033,19,ND,ND,68.74,74.27,71.48,1022001,11.48,ND,ND,ND,ND,1043738,57334,2065739,75188,71058,115517,296952,512460,142987,98528,82411,295508,159342,51092,77680,71889,115494,285907,491719,137139,93534,84374,282562,164361,42119,152868,142947,231011,582859,1004179,280126,192062,166785,578070,323703,93211,8.03,69.91,77.94,5.34,27.75,2.24,ND,ND,ND,ND,ND,ND,39.76,32.86,36.39,103.1,3.29
1098,1994,Hidalgo,13,47237,ND,ND,11089,19.14,ND,ND,69.13,74.4,71.75,1038543,11.83,ND,ND,ND,ND,1061630,58326,2100173,76049,71930,117122,302984,525434,146146,100954,82318,304588,159933,52596,78125,72362,116461,291210,503798,139894,95795,84350,291516,164410,43678,154174,144292,233583,594194,1029232,286040,196749,166668,596104,324343,96274,8.09,68.35,76.44,5.28,27.77,2.25,ND,ND,ND,ND,ND,ND,37.33,30.76,34.12,104.71,3.27
1099,1995,Hidalgo,13,47810,ND,ND,11343,19.74,ND,ND,69.34,74.15,71.74,1054668,12.19,ND,ND,ND,ND,1079140,59153,2133808,76932,72858,118631,308686,538064,148914,103141,82256,313700,160528,54118,78592,72934,117388,296157,515532,142202,97748,84379,300526,164428,45288,155524,145792,236019,604843,1053596,291116,200889,166635,614226,324956,99406,8.15,66.88,75.04,5.32,27.72,2.24,ND,ND,ND,ND,ND,ND,35.15,28.88,32.09,106.21,3.24
1100,1996,Hidalgo,13,47247,ND,ND,11313,20,ND,ND,69.93,74.39,72.16,1068414,12.6,ND,ND,ND,ND,1097075,58560,2165489,77535,73530,119675,313698,550976,151041,104896,82254,324183,161025,55892,78876,73198,117673,298828,524658,143047,98572,84540,309452,164663,47012,156411,146728,237348,612526,1075634,294088,203468,166794,633635,325688,102904,8.26,65.52,73.77,5.22,27.04,2.18,ND,ND,ND,ND,ND,ND,32.85,26.89,29.94,104.07,3.14
1101,1997,Hidalgo,13,46761,ND,ND,11267,20,ND,ND,70.38,74.84,72.62,1079800,13.08,ND,ND,ND,ND,1115624,58028,2195424,77856,73960,120369,318137,564339,152649,106240,82215,336142,161452,57975,78977,73168,117417,299201,531112,142486,98237,84722,318299,165193,48876,156833,147128,237786,617338,1095451,295135,204477,166937,654441,326645,106851,8.4,64.22,72.63,5.13,26.43,2.13,ND,ND,ND,ND,ND,ND,30.27,24.64,27.52,101.84,3.05
1102,1998,Hidalgo,13,46229,ND,ND,11273,20.71,ND,ND,70.7,75.34,73.03,1090634,13.59,ND,ND,ND,ND,1134059,57502,2224693,78166,74419,121154,322427,577716,154131,107396,81957,348448,161858,60149,79054,73138,117206,299125,537103,141672,97604,84676,327289,165743,50808,157220,147557,238360,621552,1114819,295803,205000,166633,675737,327601,110957,8.55,62.93,71.49,5.07,25.85,2.08,ND,ND,ND,ND,ND,ND,28.37,23.01,25.75,99.15,2.96
